Quantidade de Episódios,,,,,,,,Quantidade de episódios por temporada,,,,,,,,,,,,,Os episódios mais bem avaliados por temporada,
73,,,,,,,,Temporadas,Episódios,,,,,,,,,,,,Temporadas,Episódios
,,,,,,,,1,10,,,,,,,,,,,,1,9
,,,,,,,,2,10,,,,,,,,,,,,2,9
,,,,,,,,3,10,,,,,,,,,,,,3,9
,,,,,,,,4,10,,,,,,,,,,,,4,2
,,,,,,,,5,10,,,,,,,,,,,,5,8
,,,,,,,,6,10,,,,,,,,,,,,6,9
,,,,,,,,7,7,,,,,,,,,,,,7,4
,,,,,,,,8,6,,,,,,,,,,,,8,2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Episódios com maior duração de tempo,,,,,,,,,,,,,,,,Episódios com menor duração de tempo,,,,,,
Temporadas,Episodios,Titulo,Duração,,,,,,,,,,,,,Temporadas,Episodios,Titulo,Duração,,,
8,3,The Long Night,82,,,,,,,,,,,,,7,4,The Spoils of War,50,,,
7,7,The Dragon and the Wolf,80,,,,,,,,,,,,,6,1,The Red Woman,50,,,
8,6,The Iron Throne,80,,,,,,,,,,,,,5,4,Sons of the Harpy,51,,,
8,5,The Bells,78,,,,,,,,,,,,,4,7,Mockingbird,51,,,
8,4,The Last of the Starks,78,,,,,,,,,,,,,4,9,The Watchers on the Wall,51,,,
7,6,Beyond the Wall,70,,,,,,,,,,,,,6,7,The Broken Man,51,,,
6,10,The Winds of Winter,68,,,,,,,,,,,,,2,4,Garden of Bones,51,,,
4,10,The Children,65,,,,,,,,,,,,,3,9,The Rains of Castamere,51,,,
2,10,Valar Morghulis,64,,,,,,,,,,,,,4,6,The Laws of Gods and Men,51,,,
7,3,The Queen's Justice,63,,,,,,,,,,,,,5,9,The Dance of Dragons,52,,,
3,10,Mhysa,63,,,,,,,,,,,,,6,6,Blood of My Blood,52,,,
1,1,Winter Is Coming,62,,,,,,,,,,,,,4,2,The Lion and the Rose,52,,,
5,8,Hardhome,61,,,,,,,,,,,,,6,3,Oathbreaker,52,,,
5,10,Mother's Mercy,60,,,,,,,,,,,,,4,8,The Mountain and the Viper,52,,,
5,3,High Sparrow,60,,,,,,,,,,,,,4,5,First of His Name,53,,,
6,9,Battle of the Bastards,60,,,,,,,,,,,,,5,1,The Wars to Come,53,,,
6,8,No One,59,,,,,,,,,,,,,3,4,And Now His Watch Is Ended,53,,,
7,2,Stormborn,59,,,,,,,,,,,,,3,6,The Climb,53,,,
5,7,The Gift,59,,,,,,,,,,,,,1,6,A Golden Crown,53,,,
7,1,Dragonstone,59,,,,,,,,,,,,,2,3,What Is Dead May Never Die,53,,,
1,8,The Pointy End,59,,,,,,,,,,,,,2,1,The North Remembers,53,,,
6,4,Book of the Stranger,59,,,,,,,,,,,,,1,10,Fire and Blood,53,,,
7,5,Eastwatch,59,,,,,,,,,,,,,6,2,Home,54,,,
4,1,Two Swords,58,,,,,,,,,,,,,2,2,The Night Lands,54,,,
1,7,You Win or You Die,58,,,,,,,,,,,,,2,8,The Prince of Winterfell,54,,,
